,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Content Rating NUM,Category NUM
5258,AJ Styles Wallpaper 2018 - AJ Styles HD Wallpaper,ART_AND_DESIGN,4.0,18,3.6,1000,Free,0.0,Everyone,Art & Design,"March 22, 2018",1.1,4.0 and up,1,0
5254,AJ Styles HD Wallpapers,ART_AND_DESIGN,4.8,48,25,5000,Free,0.0,Everyone,Art & Design,"August 4, 2018",1.1.1,4.1 and up,1,0
3982,Cardi B Wallpaper,ART_AND_DESIGN,4.8,253,3.7,50000,Free,0.0,Everyone,Art & Design,"November 1, 2017",1.0.0,4.0 and up,1,0
5179,Ai illustrator viewer,ART_AND_DESIGN,3.4,486,5.9,100000,Free,0.0,Everyone,Art & Design,"July 26, 2018",5.7,5.0 and up,1,0
4193,صور حرف H,ART_AND_DESIGN,4.4,13,4.5,1000,Free,0.0,Everyone,Art & Design,"March 27, 2018",2.0,4.0.3 and up,1,0
4764,X Launcher Prime: With OS Style Theme & No Ads,ART_AND_DESIGN,4.7,149,3.5,1000,Paid,1.99,Everyone,Art & Design,"July 30, 2018",1.2.2,4.1 and up,1,0
4759,X Launcher Pro - IOS Style Theme & Control Center,ART_AND_DESIGN,4.8,1216,8.6,10000,Paid,1.99,Everyone,Art & Design,"June 26, 2018",1.0.0,4.1 and up,1,0
4755,"X Launcher Pro: PhoneX Theme, OS11 Control Center",ART_AND_DESIGN,4.7,801,3.5,5000,Paid,1.99,Everyone,Art & Design,"July 30, 2018",2.1.2,4.1 and up,1,0
4749,X Launcher: With OS11 Style Theme & Control Center,ART_AND_DESIGN,4.7,5754,4.4,100000,Free,0.0,Everyone,Art & Design,"July 30, 2018",2.1.2,4.1 and up,1,0
7174,Easy DIY CD Craft Ideas,ART_AND_DESIGN,4.191767218366257,7,5.6,5000,Free,0.0,Everyone,Art & Design,"May 30, 2018",1.0,2.3 and up,1,0
34,I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up,4,0
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11,100000,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,1,0
6930,Fantasy theme dark bw black building,ART_AND_DESIGN,4.8,41,1.9,5000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.0.2,4.0 and up,1,0
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up,1,0
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37,100000,Free,0.0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up,1,0
7,Infinite Painter,ART_AND_DESIGN,4.1,36815,29,1000000,Free,0.0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up,1,0
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19,50000,Free,0.0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up,1,0
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14,500000,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,1,0
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0.0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,1,0
3,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25,50000000,Free,0.0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up,4,0
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up,1,0
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up,1,0
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11,100000,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,1,0
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21,100000,Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up,1,0
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20,10000000,Free,0.0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up,4,0
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33,1000000,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,1,0
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up,1,0
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12,1000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up,1,0
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28,1000000,Free,0.0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up,1,0
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up,1,0
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25,500000,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,1,0
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12,100000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,1,0
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up,2,0
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,1,0
23,Mcqueen Coloring pages,ART_AND_DESIGN,4.191767218366257,61,7.0,100000,Free,0.0,Everyone,Art & Design;Action & Adventure,"March 7, 2018",1.0.0,4.1 and up,1,0
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up,1,0
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14,100000,Free,0.0,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up,1,0
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23,50000,Free,0.0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up,1,0
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up,1,0
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39,5000000,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,1,0
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up,1,0
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17,10000,Free,0.0,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up,1,0
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up,1,0
19,ibis Paint X,ART_AND_DESIGN,4.6,224399,31,10000000,Free,0.0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up,1,0
9713,eP Finder,AUTO_AND_VEHICLES,4.191767218366257,0,6.3,10,Free,0.0,Everyone,Auto & Vehicles,"June 21, 2018",1.0,4.4 and up,1,1
4120,MHD F-Series,AUTO_AND_VEHICLES,4.9,73,23,1000,Free,0.0,Everyone,Auto & Vehicles,"June 5, 2018",version 0.994,3.2 and up,1,1
7801,CR-V Service Manual,AUTO_AND_VEHICLES,4.2,12,88,500,Free,0.0,Everyone,Auto & Vehicles,"February 19, 2018",1.2,4.1 and up,1,1
4376,m.ride - your motorcycle app,AUTO_AND_VEHICLES,4.5,189,16,10000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.1.6,6.0 and up,1,1
10345,Repair Hyundai Santa Fe,AUTO_AND_VEHICLES,3.9,22,97,1000,Free,0.0,Everyone,Auto & Vehicles,"January 31, 2018",1.0,4.0 and up,1,1
5023,Dashboard AE,AUTO_AND_VEHICLES,4.191767218366257,0,13,10,Free,0.0,Everyone,Auto & Vehicles,"May 16, 2018",1255162018,6.0 and up,1,1
7511,Car Search For Craigslist CL Free,AUTO_AND_VEHICLES,2.6,5,9.0,1000,Free,0.0,Everyone,Auto & Vehicles,"May 8, 2018",1.0.0,2.3.3 and up,1,1
10130,EZ-ELD Update,AUTO_AND_VEHICLES,3.1,14,4.6,1000,Free,0.0,Everyone,Auto & Vehicles,"February 9, 2018",16.00,4.3 and up,1,1
8289,AutoScout24 - used car finder,AUTO_AND_VEHICLES,4.4,186648,42,10000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",9.3.52,4.2 and up,1,1
6468,BM FlexCheck,AUTO_AND_VEHICLES,3.5,2,34,100,Free,0.0,Everyone,Auto & Vehicles,"June 8, 2018",1.10.1,5.0 and up,1,1
10137,EZ-ELD Driver App (Free),AUTO_AND_VEHICLES,2.1,83,4.8,5000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.12,4.3 and up,1,1
5101,AG Fast Service Automotive,AUTO_AND_VEHICLES,4.191767218366257,5,1.7,100,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.0.8,4.4 and up,1,1
7790,CR Monitor,AUTO_AND_VEHICLES,4.191767218366257,1,2.8,5,Free,0.0,Everyone,Auto & Vehicles,"April 27, 2018",1.0,4.0 and up,1,1
4622,T-Mobile SyncUP DRIVE,AUTO_AND_VEHICLES,4.0,1981,18,100000,Free,0.0,Everyone,Auto & Vehicles,"August 1, 2018",2.15.1.4,5.0 and up,1,1
5310,Kymco AK 550,AUTO_AND_VEHICLES,4.3,47,58,1000,Free,0.0,Everyone,Auto & Vehicles,"November 11, 2016",1.0,2.3 and up,1,1
5015,AE Garage,AUTO_AND_VEHICLES,4.4,64,66,1000,Free,0.0,Everyone,Auto & Vehicles,"June 27, 2017",1.0,4.1 and up,1,1
8934,Mini DV,AUTO_AND_VEHICLES,3.5,12,19,5000,Free,0.0,Everyone,Auto & Vehicles,"May 29, 2018",1.27,4.0 and up,1,1
6226,BH Patrole,AUTO_AND_VEHICLES,4.8,27,2.5,500,Free,0.0,Everyone,Auto & Vehicles,"February 15, 2018",2.0,4.4 and up,1,1
7341,autolina.ch has over 120'000 cars on offer.,AUTO_AND_VEHICLES,4.2,25,6.5,10000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2017",1.02,4.2 and up,1,1
9964,SpeedApp EV,AUTO_AND_VEHICLES,4.191767218366257,0,48,5,Free,0.0,Everyone,Auto & Vehicles,"July 4, 2018",1.2,6.0 and up,1,1
9959,Bolt - EV Charging Service,AUTO_AND_VEHICLES,3.0,9,8.4,100,Free,0.0,Everyone,Auto & Vehicles,"March 23, 2018",2.2.0,5.0 and up,1,1
10764,FP Transportation,AUTO_AND_VEHICLES,4.191767218366257,1,0.9,1,Free,0.0,Everyone,Auto & Vehicles,"March 9, 2018",10.0.0,4.0 and up,1,1
9956,CHOSEN - EV Smart Charger,AUTO_AND_VEHICLES,4.191767218366257,1,19,10,Free,0.0,Everyone,Auto & Vehicles,"August 7, 2018",3.4.4,4.2 and up,1,1
9951,EV Trip Optimizer for Tesla,AUTO_AND_VEHICLES,3.2,46,6.6,1000,Free,0.0,Everyone,Auto & Vehicles,"June 26, 2018",3.4,4.1 and up,1,1
10811,FR Plus 1.6,AUTO_AND_VEHICLES,4.191767218366257,4,3.9,100,Free,0.0,Everyone,Auto & Vehicles,"July 24, 2018",1.3.6,4.4W and up,1,1
7419,CJ's Tire & Automotive,AUTO_AND_VEHICLES,4.0,5,34,1000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",2.8,2.3.3 and up,1,1
6160,CARS.bg,AUTO_AND_VEHICLES,4.5,276,1.7,100000,Free,0.0,Everyone,Auto & Vehicles,"July 5, 2017",1.1.3,4.4 and up,1,1
10486,FJ Drive: Mercedes-Benz Lease,AUTO_AND_VEHICLES,4.6,107,27,10000,Free,0.0,Everyone,Auto & Vehicles,"November 6, 2017",2.0.0,4.1 and up,1,1
8866,Dt Tracking,AUTO_AND_VEHICLES,4.0,4,24,100,Free,0.0,Everyone,Auto & Vehicles,"October 28, 2016",0.20,4.0 and up,1,1
6129,BG Products,AUTO_AND_VEHICLES,4.8,4,4.5,500,Free,0.0,Everyone,Auto & Vehicles,"November 28, 2017",1.3,5.0 and up,1,1
7183,Билеты ПДД CD 2019 PRO,AUTO_AND_VEHICLES,4.191767218366257,21,16,100,Paid,1.49,Everyone,Auto & Vehicles,"July 27, 2018",1.49,4.0 and up,1,1
4697,FORD V SERIES CALC - NO LIMIT,AUTO_AND_VEHICLES,4.191767218366257,2,17,50,Paid,9.99,Everyone,Auto & Vehicles,"June 25, 2018",3.0.0,4.0 and up,1,1
6151,BG Middle East,AUTO_AND_VEHICLES,4.191767218366257,1,9.4,10,Free,0.0,Everyone,Auto & Vehicles,"December 20, 2017",1.1,4.0 and up,1,1
5247,AJ AUTO,AUTO_AND_VEHICLES,4.191767218366257,0,7.7,10,Free,0.0,Everyone,Auto & Vehicles,"February 27, 2017",1.0.0,4.0.3 and up,1,1
72,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16,10000000,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,4,1
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17,500000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up,1,1
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up,1,1
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up,1,1
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up,2,1
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,1,1
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up,1,1
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32,50000,Free,0.0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up,1,1
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up,1,1
97,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up,1,1
82,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15,500000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up,1,1
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up,1,1
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14,500000,Free,0.0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up,1,1
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.0,4.0.3 and up,1,1
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up,1,1
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38,100000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,1,1
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up,1,1
93,auto fines,AUTO_AND_VEHICLES,4.6,31433,17,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up,1,1
91,SKencar,AUTO_AND_VEHICLES,3.7,4806,35,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up,1,1
90,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up,1,1
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up,1,1
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35,5000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up,1,1
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16,500000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up,1,1
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,1,1
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25,100000,Free,0.0,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up,1,1
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",11.0,4.1 and up,1,1
51,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,1,1
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,1,1
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33,100000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up,1,1
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33,100000,Free,0.0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up,1,1
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up,1,1
69,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,Free,0.0,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up,1,1
58,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,0.2,100000,Free,0.0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up,1,1
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up,1,1
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,1,1
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up,1,1
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,1,1
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,1,1
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up,1,1
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up,1,1
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up,1,1
9205,Skin Disease,BEAUTY,4.0,1,2.2,100,Free,0.0,Everyone,Beauty,"August 30, 2017",1.0,2.2 and up,1,2
7460,Calvin Klein Petite Dresses,BEAUTY,4.191767218366257,0,3.7,500,Free,0.0,Everyone,Beauty,"March 23, 2018",1,4.1 and up,1,2
5192,AI Face Beauty Analysis - IntelliFace (Free),BEAUTY,3.1,40,13,10000,Free,0.0,Everyone,Beauty,"April 11, 2018",20,4.1 and up,1,2
10022,Beard Live Camera Photo Editor,BEAUTY,4.7,900,30,5000,Free,0.0,Everyone,Beauty,"March 25, 2018",1.1,4.0.3 and up,1,2
6828,BU Beauty Rooms,BEAUTY,4.191767218366257,1,6.0,50,Free,0.0,Everyone,Beauty,"February 17, 2017",1.0,4.4 and up,1,2
6222,BH Cosmetics,BEAUTY,4.0,2,3.6,1000,Free,0.0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,1,2
6318,BJ Grand Salon Mobile App,BEAUTY,4.191767218366257,1,15,100,Free,0.0,Everyone,Beauty,"June 14, 2018",1.0.7,5.0 and up,1,2
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,1,2
100,Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty,"May 15, 2018",4.0,4.1 and up,1,2
123,Manicure - nail design,BEAUTY,4.191767218366257,119,3.7,50000,Free,0.0,Everyone,Beauty,"July 23, 2018",1.3,4.1 and up,1,2
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14,1000000,Free,0.0,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up,1,2
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,1,2
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up,1,2
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up,1,2
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up,1,2
115,Photo Editor 2018,BEAUTY,4.5,134,17,10000,Free,0.0,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up,1,2
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up,1,2
7021,Best Hairstyles step by step,BEAUTY,4.5,45452,9.2,5000000,Free,0.0,Everyone,Beauty,"July 19, 2018",1.25,4.0 and up,1,2
113,Wrinkles and rejuvenation,BEAUTY,4.191767218366257,182,5.7,100000,Free,0.0,Everyone 10+,Beauty,"September 20, 2017",8.0,3.0 and up,2,2
111,Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up,1,2
